Judul,Isi Berita,Link,Kategori
"Terpopuler: Tentara Israel Frustasi Dihujat Warganet RI, Firli Bahuri Dituding Berbohong","Round Up – Perang Israel-Hamas di Jalur Gaza terus menyita perhatian dunia. Pasukan Israel terus melancarkan serangan menggempur Gaza dengan dalih menghancurkan Hamas hingga ke akar-akarnya. Pun demikian, agresi militer Israel itu telah menyebabkan 14.128 orang warga sipil tewas, 5.600 diantaranya adalah anak-anak.
Kekejaman Israel di Gaza menuai kecaman dunia. Tak hanya aksi protes dan boikot produk Israel menggema di berbagai belahan dunia, kecaman atas aksi tak berperikemanusiaan militer Israel tak hanya di darat, juga di jagat maya. Para netizen mengecam aksi tentara zionis hingga membuat mereka frustasi.
Berita seputar Israel dan isu terkini di Tanah Air masih menjadi tajuk terpopuler di laman News VIVA, Rabu, 23 November 2023. Simak berita-berita pilihan itu dalam round up berikut ini:
Masyarakat Indonesia ini menggunakan jari-jari mereka untuk menyerang akun milik pasukan zionis. Sontak saja hujatan demi hujatan dilontarkan oleh warganet Indonesia kepada pasukan tersebut. Hal ini dilakukan karena mereka sudah muak atas tindakan zionis.
Apalagi, tentara IDF dengan bangganya membagikan kegiatan mereka saat menginvasi Gaza.
Selengkapnya di tautan ini
Koordinator Masyarakat Anti Korupsi (MAKI) Boyamin Saiman menyebutkan kalau Ketua KPK Firli Bahuri berbohong ketika dirinya menjelaskan mobilnya hilang saat rampung menjalani pemeriksaan di Bareskrim Polri. Firli menuturkan terpaksa menggunakan mobil seseorang yang sempat menawarkannya.
Selengkapnya di tautan ini
Dua bocah yang masih duduk di Sekolah Dasar asal Kabupaten Sampang, Madura, nekat mengendarai sepeda motor ke Jakarta. Dua bocah yang masih berusia 12 tahun itu hanya berbekal uang Rp 100 ribu, menempuh perjalanan ratusan kilometer untuk menemui kerabat dekatnya di Jakarta.
Selengkapnya di tautan ini
Perdebatan sengit terjadi dengan melibatkan poliitkus PDI Perjuangan (PDIP) Guntur Romli dengan pengamat sekaligus Direktur Eksekutif Indo Barometer M. Qodari. Adu Argumen diawali keraguan Guntur terhadap survei yang dilakukan Qodari.
Selengkapnya di tautan ini
Pasangan capres dan cawapres nomor urut 1, Anies Baswdan-Muhaimin Iskandar (Amin) kembali mengumumkan formasi Timnas Pemenangannya. Kali ini, dalam susunan formasi itu salah satu nama terdapat eks Gubernur Sumatera Utara atau Sumut Edy Rahmayadi.
Selengkapnya di tautan ini",https://www.viva.co.id/berita/nasional/1660151-terpopuler-tentara-israel-frustasi-dihujat-warganet-ri-firli-bahuri-dituding-berbohong?page=all,nasional
"Jadi Tersangka Pemerasan, Firli Bahuri Terancam Penjara Seumur Hidup!","Jakarta - Ketua Komisi Pemberantasan Korupsi (KPK), Firli Bahuri terancam pidana penjara seumur hidup buntut ditetapkan jadi tersangka kasus dugaan pemerasan atau penerimaan gratifikasi dalam penanganan korupsi Kementerian Pertanian (Kementan) 2021.
Firli bakal dikenakan Pasal 12e atau Pasal 12B atau Pasal 11 UU 31/1999 yang telah diubah dengan UU 20/2001 tentang perubahan atas UU 31/1999 tentang pemberantasan tindak pidana korupsi Juncto Pasal 65 KUHP.
Dalam rentetan pasal berlapis itu, Firli terancam hukuman paling berat penjara seumur hidup sebagaimana Pasal 12B Ayat 1 terkait penerimaan gratifikasi yang dilakukan bagi pegawai negeri atau penyelenggara negara. Hal itu diungkap Direktur Reserse Kriminal Khusus Polda Metro Jaya, Komisaris Besar Polisi Ade Safri Simanjuntak.
“Sebagaimana yang dimaksud Ayat 1, dipidana seumur hidup atau pidana penjara paling singkat empat tahun dan paling lama 20 tahun. Dan pidana denda paling sedikit Rp200 juta dan paling banyak Rp1 miliar,” kata dia kepada wartawan, Kamis 23 November 2023.
Ade menegaskan penetapan Firli jadi tersangka sesudah penyidik menemukan bukti yang cukup. Mantan Kapolres Kota Solo ini mengatakan, sedikitnya ada 91 orang telah diperiksa sebagai saksi kasus dugaan pemerasan ke eks Menteri Pertanian Syahrul Yasin Limpo (SYL) itu.
“Menetapkan saudara FB selaku ketua KPK RI sebagai tersangka dalam perkara dugaan tindak pidana korupsi berupa pemerasan atau penerimaan gratifikasi,” katanya.
Untuk diketahui, Polda Metro Jaya menaikkan status kasus dugaan pemerasan yang dilakukan pimpinan Komisi Pemberantasan Korupsi (KPK) dalam penanganan kasus korupsi di Kementerian Pertanian (Kementan) tahun 2021 ke penyidikan.
""Selanjutnya direkomendasikan untuk dinaikkan status dari penyelidikan ke tahap penyidikan,"" ujar Direktur Reserse Kriminal Khusus Polda Metro Jaya, Komisaris Besar Polisi Ade Safri Simanjuntak kepada wartawan, Sabtu 7 Oktober 2023.",https://www.viva.co.id/berita/nasional/1660272-jadi-tersangka-pemerasan-firli-bahuri-terancam-penjara-seumur-hidup?page=all,nasional
"Firli Bahuri Ditetapkan Tersangka, Eks Pegawai KPK: Alhamdulillah","Jakarta – Ketua wadah pegawai KPK Yudi Purnomo Harahap langsung memberikan sebuah respons usai Polda Metro Jaya resmi menetapkan Ketua KPK Firli Bahuri sebagai tersangka dugaan pemerasan ke Syahrul Yasin Limpo.
""Alhamdulillah, akhirnya, masa depan pemberantasan korupsi setidaknya akan ada harapan cerah, terima kasih polda metro jaya atas kerja keras dan profesional membersihkan KPK dari unsur korupsi,"" ujar Yudi daat dikonfirmasi wartawan, Kamis 23 November 2023 dinihari.
Yudi menuturkan kalau status Firli Bahuri bisa menjadi nonaktif usai resmi jadi tersangka. Dia pun berharap kalau Firli Bahuri bisa mundur sebagai ketua KPK.
""Oleh karena itu sebaiknya Firli mundur daripada jadi beban KPK,"" tegasnya.
Sebelumnya diberitakan, Polda Metro Jaya menetapkan Ketua Komisi Pemberantasan Korupsi, Firli Bahuri jadi tersangka kasus dugaan pemerasan terhadap eks Menteri Pertanian, Syahrul Yasin Limpo dalam penanganan kasus korupsi di Kementerian Pertanian (Kementan) tahun 2021.
""Menetapkan Saudara FB, selaku Ketua KPK RI sebagai tersangka,"" kata Direktur Reserse Kriminal Khusus Polda Metro Jaya, Komisaris Besar Polisi Ade Safri Simanjuntak kepada wartawan, Rabu 22 November 2023.",https://www.viva.co.id/berita/nasional/1660271-firli-bahuri-ditetapkan-tersangka-eks-pegawai-kpk-alhamdulillah?page=all,nasional
Kondisi Terkini 4 Korban Luka Kecelakaan Minibus vs Kereta Api di Lumajang,"Surabaya – Empat korban luka berat dalam insiden minibus ditabrak Kereta Api Probowangi di Kabupaten Lumajang, Jawa Timur, hingga kini masih dirawat di rumah sakit. Dua korban dirawat di RSUD Lumajang, sementara dua korban lainnya dirujuk ke RSUD dr Soetomo Surabaya.
Wali Kota Surabaya Eri Cahyadi mengatakan, dua korban luka yang masih dirawat di RSUD Lumajang ialah Bayu Trinanto (53), sopir minibus Isuzu Elf asal Kembang Kuning Kulon, Sawahan, dan Ardhika (57), warga Perumahan Grand Hasanah, Surabaya.
Eri mengungkapkan, pihak keluarga sempat meminta agar kedua korban dirujuk ke rumah sakit yang ada di Kota Surabaya. Namun, setelah diobservasi, kedua korban belum memungkinkan dibawa ke Surabaya karena kondisinya belum stabil.
""Kemarin semua keluarga minta [keempat korban luka] dibawa ke Surabaya, ambulans sudah kita siapkan. Dua, ya, yang sudah diizinkan ke Surabaya. Yang dua kondisinya tidak memungkinkan, karena kalau dibawa menggunakan ambulans, itu bisa lebih parah,"" kata Eri saat bertakziah ke keluarga korban, Rabu, 22 November 2023.
Politikus PDIP itu menegaskan, kendati ada dua korban yang masih dirawat di RS Lumajang, namun Pemkot Surabaya, dalam hal ini RSUD Soewandhi, tetap memantau perkembangan perawatan dan kondisi keduanya. ""Kami juga memantau yang ada di RSUD dr Soetomo,"" ujar Eri.
Adapun dua korban luka-luka yang kini sudah dirujuk di RSUD dr Soetomo Surabaya ialah Warsito dan seorang anak di bawah umur berinisial A. Keduanya hingga kini masih dalam kondisi kritis. Keduanya juga merupakan penumpang minibus yang ditabrak KA Probowangi di Kabupaten Lumajang.
Peristiwa kecelakaan maut itu terjadi di perlintasan kereta api tanpa palang pintu di Desa Ranu Pakis, Kecamatan Klakah, Kabupaten Lumajang, pada Minggu, 19 November 2023, malam lalu. Saat itu, minibus Isuzu Elf yang dikemudikan Bayu dengan penumpang 14 orang melaju dari Banyuwangi menuju Surabaya.
Sesampai di lokasi, mininus nahas itu melintasi rel kereta api tanpa palang pintu. Nasib tak dapat ditunda, di saat bersamaan KA Probowongi relasi Ketapang-Surabaya melaju dari arah Banyuwangi. Minibus itu pun ditabrak kereta. Akibatnya, 11 orang meninggal dunia di tempat dan 4 orang luka berat.",https://www.viva.co.id/berita/nasional/1660237-kondisi-terkini-4-korban-luka-kecelakaan-minibus-vs-kereta-api-di-lumajang?page=all,nasional
Polisi Segera Periksa Firli sebagai Tersangka Pemerasan ke SYL,"Jakarta- Polisi segera mengagendakan pemeriksaan terhadap Ketua Komisi Pemberantasan Korupsi (KPK), Firli Bahuri pasca statusnya naik jadi tersangka dugaan pemerasan terhadap eks Menteri Pertanian, Syahrul Yasin Limpo dalam penanganan kasus korupsi di Kementerian Pertanian (Kementan) tahun 2021.
""Melakukan pemeriksaan terhadap Saudara FB selaku Ketua KPK RI dalam kapasitasnya sebagai tersangka dalam dugaan tindak pidana korupsi yang saat ini dilakukan penyidikannya,"" kata Direktur Reserse Kriminal Khusus Polda Metro Jaya, Komisaris Besar Polisi Ade Safri Simanjuntak kepada wartawan, Kamis 23 November 2023.
Meski begitu, mantan Kapolres Kota Solo itu belum merinci kapan Firli bakal diperiksa sebagai tersangka. Adapun Firli sudah pernah dua kali diperiksa saat statusnya masih saksi.
Sebelumnya diberitakan, Polda Metro Jaya menetapkan Ketua Komisi Pemberantasan Korupsi, Firli Bahuri jadi tersangka kasus dugaan pemerasan terhadap eks Menteri Pertanian, Syahrul Yasin Limpo dalam penanganan kasus korupsi di Kementerian Pertanian (Kementan) tahun 2021.
""Menetapkan Saudara FB selaku Ketua KPK RI sebagai tersangka,"" kata Direktur Reserse Kriminal Khusus Polda Metro Jaya, Komisaris Besar Polisi Ade Safri Simanjuntak kepada wartawan, Rabu 22 November 2023.
Untuk diketahui, Polda Metro Jaya menaikkan status kasus dugaan pemerasan yang dilakukan pimpinan Komisi Pemberantasan Korupsi (KPK) dalam penanganan kasus korupsi di Kementerian Pertanian (Kementan) tahun 2021 ke penyidikan.
""Selanjutnya direkomendasikan untuk dinaikkan status dari penyelidikan ke tahap penyidikan,"" ujar Direktur Reserse Kriminal Khusus Polda Metro Jaya, Komisaris Besar Polisi Ade Safri Simanjuntak kepada wartawan, Sabtu 7 Oktober 2023.",https://www.viva.co.id/berita/nasional/1660268-polisi-segera-periksa-firli-sebagai-tersangka-pemerasan-ke-syl?page=all,nasional
"Panglima TNI Jenderal Agus Subiyanto Punya Harta Rp 19,3 Miliar, Ini Rinciannya","Jakarta - Presiden Joko Widodo (Jokowi) telah melantik Jenderal Agus Subiyanto sebagai Panglima TNI di Istana Negara, Jakarta, Rabu, 22 November 2023. Jenderal Agus menggantikan Laksamana Yudo Margono yang memasuki masa pensiun pada 26 November 2023.
Dikutip VIVA dari elhkpn.kpk.go.id, Jenderal Agus memiliki harta Rp 19,3 miliar. Hal itu berdasarkan LHKPN yang terakhir dilaporkannya ketika menjabat sebagai Wakil Kepala Staf TNI AD pada 31 Maret 2023 untuk laporan periodik 2022.
Harta Jenderal Agus Subiyanto didominasi tanah dan bangunan yang ditaksir mencapai total Rp 16 miliar. Mantan KASAD itu punya 11 bidang tanah dan bangunan yang tersebar di Bandung, Bandung Barat, Pangandaran, Karanganyar, Poso, Cimahi, Jakarta Timur, dan Bogor.
Sementara kendaraan, Agus melaporkan memiliki mobil Nisaan tahun 2011 seharga Rp 70 juta. Agus juga memiliki harta bergerak lainnya dengan nilai total Rp 1,59 miliar serta kas dan setara kas senilai Rp 1,63 miliar.
Dalam LHKPN tersebut, Agus mengaku tercatat tak memiliki utang. Dengan begitu, total harta Agus Subianto sebesar Rp 19,3 miliar.",https://www.viva.co.id/berita/nasional/1660274-panglima-tni-jenderal-agus-subiyanto-punya-harta-rp-19-3-miliar-ini-rinciannya?page=all,nasional
Ganjar Ungkap Pentingnya Beri Ruang Anak Muda Ekspresikan Bakat dan Minat,"Jayapura - Calon presiden (capres) Ganjar Pranowo menegaskan pentingnya kehadiran creative hub dalam era industri saat ini. Ia bilang banyak anak muda yang memiliki kreativitas dalam mengekspresikan minat dan bakat mereka.
Untuk itulah menurut Ganjar kreativitas ini perlu diberikan ruang yang sangat luas, terutama kepada anak-anak muda melalui sebuah creative hub.
Hal itu dikatakan Ganjar saat berdiskusi dengan kelompok Gen Z & Milenial di Jayapura, Papua, Selasa malam, 21 November 2023.
“Tahap awal itu membikin creative hub. Creative hub itu umpamanya kalo membuat seni di studio, tempat latihan sanggar, yang suka menulis disitu ada latihannya seminggu 2 kali. Atau kalian punya problem, datang dong bareng-bareng di sini,” ujar Ganjar di lokasi.
Ganjar tak memungkiri alasan mengapa creative hub perlu dihadirkan karena banyak mendapatkan aspirasi dari anak muda langsung ketika masih menjabat sebagai Gubernur Jawa Tengah lalu.
Capres berambut putih ini mengaku sering mendapatkan masukan atau permintaan agar di wilayah Jawa Tengah bisa dibuatkan creative hub.
“Saya terinspirasi anak muda waktu saya sebagai Gubernur Jawa Tengah. Kalian butuh apa? ‘Tolong dong Pak buatin Creative Hub, maunya begitu’,” urai Ganjar.
Menurut Ganjar pemikiran anak muda di zaman sekarang ini sudah melompat sangat jauh. Sehingga diperlukan sebuah fasilitas untuk menampungnya semisalnya creative hub.
Sementara, Yokbet Merauje influencer asal Papua mengaku sependapat dengan apa yang disampaikan oleh Ganjar. Menurutnya, Ganjar sangat peduli dengan keinginan yang diharapkan oleh anak muda.
“Setelah berdiskusi dan bapak melihat persoalan anak muda sudah sangat terperinci dan apa yang beliau kasih sudah dijelaskan juga,” ungkap Yokbet Merauje.
Yokbet Merauje melihat sosok Ganjar sudah mempunyai segudang pengalaman diharapkan bisa menjadi sebuah harapan baru bagi anak muda.
“Ini proses kebanyakan anak muda yang alami sekarang ini dan relate lah,” bebernya.
Sementara itu, musisi asal Papua Martha Fakdawer merasa senang dirinya bisa berdiskusi dengan Ganjar Pranowo. Apalagi yang dibicarakan mengenai persoalan yang tengah dihadapi oleh anak muda.
Martha pun berharap bilamana Ganjar Pranowo terpilih menjadi Presiden bisa menjalankan visi-misinya, terutama mengenai kebijakan yang memberikan nilai plus bagi anak muda.
“Harapan saya kalo Pak Ganjar bisa memimpin negara ini tahun depan. Saya berharap semua visi-misnya semua tercapai dan bisa dirasakan terbukti nyata,” tutur Martha.
Dalam diskusi ini juga menghadirkan musisi asal Papua yakni Shine Of Black dan MAC, serta influencer. Menutup diskusi, Ganjar pun melakukan sesi foto bersama dengan para milenial dan Gen Z yang hadir dalam acara itu.",https://www.viva.co.id/berita/nasional/1660270-ganjar-ungkap-pentingnya-beri-ruang-anak-muda-ekspresikan-bakat-dan-minat?page=all,nasional
Cara Bikin Mahasiswa Lebih selektif dalam Memilih di Pemilu 2024,"Depok- Supaya anak muda yang baru pertama kali mengikuti pemilihan umum tak bingung dan tidak tahu bagaimana menyikapi pemilu tahun ini, digelar diskusi politik yang dihadiri Prof. Yusril Ihza Mahendra sebagai salah satu pembicaranya.
Diskusi politik itu digelar oleh Departemen Kajian dan Aksi Strategis BEM FEB UI, hari ini. Diskusi bertajuk Sarasehan Untuk Negeri (SERUNI) turut mengundang pakar, politisi hingga aktivis. Selain Yusril, ada Prof Bambang Brodjonegoro dan Haris Azhar. Kemudian ada Faldo Maldini, Panda Nababan, Feri Amsari, dan Fakhri Hamzah.
Project office Guswira Danang mengatakan, SERUNI adalah kegiatan diskusi sekaligus edukasi politik yang rutin diadakan tiap tahun oleh Departemen Kajian Aksi Strategis BEM FEB UI. Danang mengatakan, SERUNI diharap bisa mengedukasi masyarakat terutama peserta yang hadir supaya lebih memahami isu sosial politik yang ada di Tanah Air.
""Apalagi kita sudah mendekati tahun pemilu, agar mereka bisa aware terhadap manipulasi politik, memilih capres yang benar sebagai warga negara mendekati pesta demokrasi ini makanya kita adakan Seruni untuk tingkatkan awareness supaya nanti mereka tidak kosong soal isu sosial politik dan tahu untuk memilih siapa,"" ucap dia kepada wartawan, Rabu 22 November 2023.
Danang mengatakan, kebanyakan yang hadir diskusi mahasiswa-mahasiswa. Diharap dengan megikuti SERUNI busa mencerahkan anak muda mereka di Pemilu pertamanya. Sehingga, mereka bisa memilih secara objektif tidak subjektif saja.
""Misalnya visi misinya cocok suitable dengan permasalahan politik di Indonesia, ini solutif dengan permasalah politik biar nanti para audiense bisa memilih,"" ujar dia.
Sementara itu, salah satu mahasiswa yang hadir, Audie Hisyam mengapresiasi diskusi politik ini karena menurutnya pemilih muda cukup banyak pada pemilu 2024. Dia menyebut, kegiatan ini bermanfaat lantaran memberi pemahaman kepada generasi muda  terkait penting berpartisipasi di dalam pemilu.
""Ini bisa jadi sarana edukasi untuk mengetahui bagaimana proses pemilu dan bagaimana proses penentuan kebijakan dari berbagai perspektif dari segi ekonomi ataupun politik dan hukum. Jadi kita bisa melihat acara ini tuh hal yang sangat baik untuk edukasi proses pemilihan pemilu,"" katanya.
Mahasiswa yang lain, yaitu Anita mengatakan, SERUNI mengajarkan para pemilih pemula dalam memilih calon presiden dan wakil presiden.
""Dilihat bukan hanya visi misinya saja tapi bagaimana nanti 10 tahun ke depan atau 20 ke depan, dan menghadapi Pemilu 2024 saya jujur masih bingung karena belum ada pengalaman, tapi dengan adanya kegiatan ini saya bisa upgrade pengetahuan untuk memilih capres-cawapres yang terbaik,"" ucap Anita.",https://www.viva.co.id/berita/nasional/1660225-cara-bikin-mahasiswa-lebih-selektif-dalam-memilih-di-pemilu-2024?page=all,nasional
Firli Bahuri Resmi Jadi Tersangka Kasus Pemerasan SYL,"Jakarta – Polda Metro Jaya menetapkan Ketua Komisi Pemberantasan Korupsi, Firli Bahuri jadi tersangka kasus dugaan pemerasan terhadap eks Menteri Pertanian, Syahrul Yasin Limpo dalam penanganan kasus korupsi di Kementerian Pertanian (Kementan) tahun 2021.
""Menetapkan Saudara FB, selaku Ketua KPK RI sebagai tersangka,"" kata Direktur Reserse Kriminal Khusus Polda Metro Jaya, Komisaris Besar Polisi Ade Safri Simanjuntak kepada wartawan, Rabu 22 November 2023.
Untuk diketahui, Polda Metro Jaya menaikkan status kasus dugaan pemerasan yang dilakukan pimpinan Komisi Pemberantasan Korupsi (KPK) dalam penanganan kasus korupsi di Kementerian Pertanian (Kementan) tahun 2021 ke penyidikan.
""Selanjutnya direkomendasikan untuk dinaikkan status dari penyelidikan ke tahap penyidikan,"" ujar Direktur Reserse Kriminal Khusus Polda Metro Jaya, Komisaris Besar Polisi Ade Safri Simanjuntak kepada wartawan, Sabtu 7 Oktober 2023.
Firli Bahuri membantah
Dugaan pimpinan KPK yang melakukan pemerasan terhadap SYL dispekulasikan mengarah ke Firli Bahuri. Apalagi sempat beredar foto Firli dengan SYL di sebuah lapangan bulu tangkis.
Firli pun menjelaskan beredarnya foto pertemuan dirinya dengan SYL yang membuat publik geger. Foto tersebut beredar, setelah KPK menyelidiki kasus dugaan korupsi di Kementan era SYL.
Sementara, ada upaya laporan dugaan pemerasan oleh pimpinan KPK di Polda Metro Jaya. Adapun SYL sudah diperiksa Polda Metro Jaya, beberapa hari lalu.
Firli jelaskan, kalau pertemuan tersebut dilakukan sebelum dugaan korupsi di Kementerian Pertanian (Kementan) terjadi. Dia menyebut, pertemuan itu dilakukan pada Maret 2022, setahun lalu.
""Pertemuan di lapangan bulutangkis antara saya dengan Menteri Pertanian saat itu, saudara Syahrul Yasin Limpo, terjadi sebelum periode tersebut, tepatnya yaitu sekitar pada tanggal 2 Maret 2022. Dan itupun beramai-ramai di tempat terbuka,"" ujar Firli dalam keterangannya, Senin 9 Oktober 2023.",https://www.viva.co.id/berita/nasional/1660262-firli-bahuri-resmi-jadi-tersangka-kasus-pemerasan-syl?page=all,nasional
"Tutupi Wajah Seperti Ninja, Caleg PKB Ngamuk Serang Kompetitor di Pasuruan","Pasuruan – Seorang Caleg muda PKB Kabupaten Pasuruan bernama Tri Wahyudi menyelinap ke kediaman sesama Caleg PKB, A Wasik Rahman Hamzah. Tri menyelinap berpakaian bak ninja melakukan penyerangan menggunakan tongkat besi ke keluarga A Wasik.
Tri Wahyudi adalah Caleg PKB Dapil 6, meliputi Kecamatan Sukorejo, Pandaan dan Prigen Kabupaten Pasuruan. Korban yang diserang juga Caleg satu dapil dengan Tri Wahyudi di Pileg 2024 mendatang.
Dalam rekaman CCTV rumah, keluarga A Wasik tampak menyerang balik menggunakan bangku murid mengaji dan peralatan menyapu untuk menghindari serangan ayunan tongkat besi yang dilakukan Tri Wahyudi.
Tri Wahyudi yang kemudian berhasil dilumpuhkan lalu dihajar dan diikat kemudian diserahkan ke Mapolsek Pandaan, Polres Pasuruan.
A Wasik Rahman Hamzah adalah Anggota DPRD Kabupaten Pasuruan Komisi 4. Dia mengatakan jika serangan ini terjadi pada pukul 20.00 WIB Selasa, 21 November 2023 kemarin. Awalnya pelaku bertamu ke rumahnya diterima langsung oleh istrinya di ruang tamu.
Saat itu A Wasik sedang kegiatan diluar dan istrinya yang tidak mengenal Tri Wahyudi pun memberitahukan kepada A Wasik kalau ada tamu.
Tak lama kemudian, Tri Wahyudi pamit ke toilet yang ada di luar dan kemudian tidak kembali ke ruang tamu. Sementara motornya tetap terparkir di halaman rumah yang jadi satu dengan lembaga pendidikan Al-Quran (TPQ).
""Saya yang datang sekitar pukul 22.00 WIB pun heran, ini motor siapa yang parkir. Saya tanya istri dan keluarga saya, semuanya tidak kenal. Akhirnya saya minta saudara saya menutup gerbang agar motornya tidak hilang dan saya masuk ke rumah untuk mandi,"" kata A Wasik pada Rabu, 22 November 2023 saat ditemui di rumahnya.
Belum sempat mandi terdengar suara gedoran pintu di lantai dua rumah, hingga membuat istrinya kaget. Wasik pun kemudian mengeceknya menggunakan senter ke lantai dua rumah.
""Di lantai dua tiba-tiba ada laki-laki (Tri Wahyudi) yang berpenutup wajah kayak ninja. Akhirnya senter-senteran, dia pakai kayak laser. Saya suruh turun. Tapi dia terus teriak sampai seluruh keluarga saya, kakak saya keluar dan mengira ada maling,"" ujar A Wasik.
Setelah itu, Wasik mengatakan Tri Wahyudi kabur ke ruangan kelas madrasah TPQ yang berdampingan dengan lantai dua rumahnya.
Wasik dan keluarnya pun kemudian mengejar dan terlibat aksi saling dorong pintu di ruangan kelas tempat persembunyian Tri Wahyudi. Lalu, Tri Wahyudi yang kalah dorongan, langsung menyerang menggunakan dua tongkat besi.
Para keluarga Wasik yang menggunakan alat seadanya pun berhasil menangkis, hingga membuat Tri Wahyudi kembali masuk ke dalam kelas. Kalah jumlah, Tri Wahyudi pun berhasil dilumpuhkan. Setelah itu barulah diketahui bahwa pelaku penyerangan adalah Tri Wahyudi yang sama-sama caleg dari PKB.
""Setelah dia diamankan ke Polsek, Orang tuanya Y (Tri Wahyudi) dipanggil, saya juga dipanggil untuk menyampaikan kronologi. Dalam pembicaraan kemarin dari orang tua ternyata mohon maaf si Y ini ada semacam depresi atau bagaimana gitu,"" tutur A Wasik.
Di satu sisi, Tri Wahyudi melalui media sosial pribadinya di Instagram mengungkapkan jika Wasik lah yang mengeroyoknya. ""Tetap stylish meskipun dikeroyok @bolomaswasik, di Sidomukti, Pandaan,"" tulis Tri Wahyudi dalam unggahan statusnya di akun Instagramnya.
Tri Wahyudi atau Yudi pun juga menyelipkan kata-kata aktivis Soe Hoek Gie. ""Lebih baik diasingkan dari pada menyerah pada kemunafikan,"" tulis Tri Wahyudi.
Namun, hingga sampai saat ini Tri Wahyudi belum bisa dihubungi untuk dikonfirmasi.",https://www.viva.co.id/berita/nasional/1660212-tutupi-wajah-seperti-ninja-caleg-pkb-ngamuk-serang-kompetitor-di-pasuruan?page=all,nasional
